TimberProductID,Code,Description,RatioGroup
1,1,"hardwood, sawtimber",1
2,1,"softwood, sawtimber",1
3,2,"hardwood, pulpwood",1
4,2,"softwood, pulpwood",1
5,3,"hardwood, poles",1
6,3,"softwood, poles",1
7,4,"hardwood, pilings",1
8,4,"softwood, pilings",1
9,5,"hardwood, mine props",1
10,5,"softwood, mine props",1
11,6,"hardwood, posts",1
12,6,"softwood, posts",1
13,7,"hardwood, fuelwood",1
14,7,"softwood, fuelwood",1
15,8,"hardwood, non-sawtimber",1
16,8,"softwood, non-sawtimber",1
17,9,"hardwood, ties",1
18,9,"softwood, ties",1
19,10,"hardwood, coop bolts",1
20,10,"softwood, coop bolts",1
21,11,"hardwood, acid/dist.",1
22,11,"softwood, acid/dist.",1
23,12,"hardwood, float logs",1
24,12,"softwood, float logs",1
25,13,"hardwood, trap float",1
26,13,"softwood, trap float",1
27,14,"hardwood, misc-conv.",1
28,14,"softwood, misc-conv.",1
29,16,"hardwood, nav stores",1
30,16,"softwood, nav stores",1
31,18,"hardwood, cull logs",1
32,18,"softwood, cull logs",1
33,19,"hardwood, sm rnd wd",1
34,19,"softwood, sm rnd wd",1
35,20,"hardwood, grn bio cv",1
36,20,"softwood, grn bio cv",1
37,21,"hardwood, dry bio cv",1
38,21,"softwood, dry bio cv",1
39,26,"hardwood, sp wood pr",1
40,26,"softwood, sp wood pr",1
