Year, Total 
2017,1695956
2016,1687376
2015,1703188
2014,1494437
2013,1767033
2012,1437180
2011,1464641
2010,1302764
2009,915095
2008,1497513
2007,1776300
2006,1774600
2005,1889454
2004,1875287
2003,1812713
2002,1838753
2001,1751800
2000,2112000
1999,2378000
1998,2336000
1997,2658000
1996,2523000
1995,2535000
1994,2839000
1993,3057000
1992,3214000
1991,3474000
1990,4251000
1989,4722000
1988,4840000
1987,4649000
1986,4359000
1985,4056000
1984,3714000
1983,3648000
1982,2497000
1981,2859000
1980,3441000
1979,4084000
1978,4664000
1977,4787000
1976,4731000
1975,4334000
1974,4704000
1973,4923000
1972,5557000
1971,4790000
1970,4566000
1969,5001000
1968,5472000
1967,5062000
1966,5008000
1965,5271000
1964,5476000
1963,5461000
1962,5539000
1961,5342000
1960,5137000
1959,5886000
1958,5675000
1957,5347000
1956,5862000
1955,6015000
1954,5600000
1953,5990000
1952,5057000
