ID,Code,Description,RatioGroup
1,01,"hardwood, sawtimber",1
2,01,"softwood, sawtimber",1
3,02,"hardwood, pulpwood",1
4,02,"softwood, pulpwood",1
5,03,"hardwood, poles",1
6,03,"softwood, poles",1
7,04,"hardwood, pilings",1
8,04,"softwood, pilings",1
9,05,"hardwood, mine props",1
10,05,"softwood, mine props",1
11,06,"hardwood, posts",1
12,06,"softwood, posts",1
13,07,"hardwood, fuelwood",1
14,07,"softwood, fuelwood",1
15,08,"hardwood, non-sawtimber",1
16,08,"softwood, non-sawtimber",1
17,09,"hardwood, ties",1
18,09,"softwood, ties",1
19,10,"hardwood, coop bolts",1
20,10,"softwood, coop bolts",1
21,11,"hardwood, acid/dist.",1
22,11,"softwood, acid/dist.",1
23,12,"hardwood, float logs",1
24,12,"softwood, float logs",1
25,13,"hardwood, trap float",1
26,13,"softwood, trap float",1
27,14,"hardwood, misc-conv.",1
28,14,"softwood, misc-conv.",1
29,16,"hardwood, nav stores",1
30,16,"softwood, nav stores",1
31,18,"hardwood, cull logs",1
32,18,"softwood, cull logs",1
33,19,"hardwood, sm rnd wd",1
34,19,"softwood, sm rnd wd",1
35,20,"hardwood, grn bio cv",1
36,20,"softwood, grn bio cv",1
37,21,"hardwood, dry bio cv",1
38,21,"softwood, dry bio cv",1
39,26,"hardwood, sp wood pr",1
40,26,"softwood, sp wood pr",1
