Year,cum_discarded_products
1906,19.79022241687243
1907,5585.632745087446
1908,45918.417104111475
1909,66622.08726678166
1910,79442.68229140088
1911,86433.44511872661
1912,100408.75469145698
1913,128490.53478099109
1914,173305.97338900535
1915,207764.28345735656
1916,229654.32450893958
1917,258677.57734475375
1918,259777.18543500488
1919,263233.45816276385
1920,267149.4173331356
1921,265344.6987471728
1922,270414.9533074413
1923,274436.9950767794
1924,285947.75394084887
1925,300105.1496075689
1926,302189.470793674
1927,303329.78268422105
1928,314975.9659612565
1929,318144.7685553941
1930,311929.8453760996
1931,295847.6152828622
1932,263494.4957852373
1933,227449.8482083421
1934,210387.29714898593
1935,201954.4532079175
1936,207700.5580514555
1937,210126.0768076987
1938,213982.37556551557
1939,203353.97012488826
1940,223231.19729724797
1941,249850.4748375405
1942,272493.6651468033
1943,301674.4828390531
1944,372766.51810833986
1945,445320.50582949177
1946,451805.8699327345
1947,561585.9080821644
1948,645812.2761731498
1949,772682.788735139
1950,847914.1290026751
1951,909433.5307292114
1952,1070278.3079330535
1953,1181632.9321939936
1954,1275785.1413690315
1955,1377816.0161676486
1956,1523546.3149756207
1957,1681570.34993506
1958,1755048.676503009
1959,1975976.131792118
1960,2134332.3465854004
1961,2221349.083769765
1962,2271218.764650087
1963,2555473.8429809716
1964,2904379.0344128422
1965,3179208.2271725903
1966,3305620.677802743
1967,3536698.723728542
1968,3901343.1242975453
1969,4035864.0598584814
1970,4208292.763589507
1971,4231857.271818257
1972,4305881.887518674
1973,4216794.870663315
1974,4206889.590423459
1975,4128684.624902359
1976,3995987.4157451643
1977,3906548.45841331
1978,3927264.118637122
1979,3941107.860625412
1980,3915191.1040365384
1981,3869794.7758143977
1982,3875103.230616347
1983,4234442.76139483
1984,4451541.42611244
1985,4585412.148316454
1986,4715650.104094292
1987,4918294.607797344
1988,4951531.775721715
1989,5119359.001924207
1990,5204333.673439834
1991,5212187.6533204075
1992,5152378.620444643
1993,5111514.060657338
1994,5097127.84706801
1995,5029708.620169535
1996,4964667.7712260885
1997,4871904.666692868
1998,4740364.6000153
1999,4715420.686224459
2000,4621595.166616452
2001,4522594.092565531
2002,4457199.44012035
2003,4454817.460544534
2004,4381593.876010277
2005,4349954.875015625
2006,4287212.336647085
2007,4216497.10260007
2008,4148115.0819395673
2009,4106050.016876188
2010,4057079.6767476182
2011,4059048.5324009727
2012,4031057.1570891007
2013,3966739.026844067
2014,3912862.5803294973
2015,3895055.378223785
2016,3847840.8561770106
2017,3791425.841034617
2018,3766341.575014102
