Year,mtcarbon
1906,2.926501410248679
1907,468.9802826226501
1908,3155.7264912074615
1909,5545.2807161961755
1910,7516.447692591672
1911,9060.273611497036
1912,10662.477452549025
1913,12875.916383628126
1914,16157.781219596414
1915,19820.803153504654
1916,23315.499724377176
1917,26959.196051326555
1918,29726.018788925194
1919,31931.248915202832
1920,33736.20931390479
1921,35041.54431561982
1922,36211.10049028111
1923,37242.04601936357
1924,38429.048888914855
1925,39827.44392105256
1926,40968.1679071196
1927,41879.755708725104
1928,42980.83064462511
1929,43933.07500662892
1930,44446.47732631511
1931,44282.403773835096
1932,43036.403601604645
1933,40834.38609944037
1934,38557.55586683936
1935,36522.10351825578
1936,35162.21520045856
1937,34204.70467377342
1938,33604.84987663675
1939,32777.60582072703
1940,32831.93148317866
1941,33794.773215193556
1942,35315.86670977652
1943,37490.785627597565
1944,41616.8622435583
1945,47288.009290399394
1946,51856.285289499065
1947,59154.33988545183
1948,67658.99704211847
1949,78563.55510607999
1950,89519.37210032549
1951,100039.95414188801
1952,113664.2732949887
1953,127953.32339838688
1954,142156.22634381268
1955,156565.76114076292
1956,172645.75491522194
1957,190430.65009860403
1958,206595.75889387337
1959,226622.5800019384
1960,247442.03295744437
1961,266399.91050529754
1962,282646.4151052155
1963,304926.8388558083
1964,334066.0867638359
1965,365895.47364353476
1966,394649.4603880208
1967,424669.61124499893
1968,460281.4832678577
1969,492213.10027808644
1970,522637.52577315015
1971,546756.1808504332
1972,567791.081521804
1973,580819.6397200611
1974,590455.7578264109
1975,595129.9774072017
1976,594117.9780378691
1977,590247.460332534
1978,587999.1197603685
1979,586755.7128836823
1980,584905.8915215046
1981,581917.6122774152
1982,579811.9715349239
1983,590633.3940278422
1984,606434.7313089743
1985,623170.7651055012
1986,640496.9345108836
1987,660780.1996099597
1988,677466.3448603885
1989,696054.0544690458
1990,713231.4925603783
1991,726660.2936855229
1992,734876.6238493738
1993,739755.9682039943
1994,742995.6849054934
1995,743144.5141370421
1996,741007.8182032227
1997,736161.1594502995
1998,727897.2490474035
1999,720704.116779894
2000,711947.8983483454
2001,701815.3405782778
2002,691791.764654864
2003,684032.1799599587
2004,675555.314539057
2005,667968.0220472212
2006,659985.7827972191
2007,651425.5174633105
2008,642503.322878135
2009,634214.8313052076
2010,626173.0177863517
2011,620083.8318482332
2012,614452.8381615686
2013,607915.2497629847
2014,601044.6339745994
2015,595167.4595981817
2016,589033.2041984571
2017,582383.4927958958
2018,576423.4625800609
