Year,ccf
2015,985700
2014,884498
2013,898620
2012,866278
2011,861788
2010,904315
2009,808565
2008,1406573
2007,1373953
2006,1503916
2005,1614025
2004,1877290
2003,1709938
2002,1894985
2001,1775360
2000,1860890
1999,2099833
1998,2077455
1997,2211018
1996,2153380
1995,2243833
1994,2393475
1993,2438593
1992,2653618
1991,2297963
1990,2797160
1989,3197028
1988,2999495
1987,3441165
1986,3151080
1985,2792718
1984,2607640
1983,2877670
1982,2070298
1981,2341403
1980,2347320
1979,2724755
1978,2928550
1977,2813943
1976,2765360
1975,2521750
1974,2720708
1973,2793558
1972,2705250
1971,3108750
1970,2733750
1969,3256000
1968,3348500
1967,2944000
1966,3348000
1965,3290500
1964,3148750
1963,3233000
1962,2792250
1961,2158038
1960,2160198
1959,2347380
1958,2071320
1957,1744963
1956,2217153
1955,1955363
1954,1651155
1953,1592273
1952,1356983
1951,1266495
1950,1474783
1949,1358558
1948,1390088
1947,1167400
1946,970885
1945,805600
